Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
simple	alternate	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Crocanthemum propinquum
compound or simple	alternate or opposite or whorled	4	unfused	6	dry & splits open	superior ovary	Cardamine concatenata
simple	opposite	2 or 3	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Elatine americana
simple	alternate	2	unfused or fused	4	dry & splits open	superior ovary	Castilleja septentrionalis
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis virginiana
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Polemonium micranthum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Suaeda linearis
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia sepium
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza thunbergii
simple	alternate	5	unfused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Hudsonia ericoides
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium or superior ovary	Desmodium canescens
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa austriaca
simple	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Crotalaria sagittalis
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine bellidifolia
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary & hypanthium or superior ovary or inferior ovary	Fallopia scandens
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa amphibia
simple	alternate	3	unfused	0 or 3	dry & doesn't split open	superior ovary	Amaranthus blitoides
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cynoglossum amabile
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Conioselinum chinense
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus tuberosus
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Foeniculum vulgare
simple	alternate or opposite	0	unfused	1 or 3 or 5	dry & doesn't split open	superior ovary & hypanthium	Herniaria hirsuta
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium arvense
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium aequale
simple	alternate	3	unfused	0 or 3	dry & splits open	superior ovary	Amaranthus blitum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus palustris
simple	alternate or opposite	4	unfused or fused	1	dry & splits open	superior ovary	Veronica peregrina
simple	alternate	6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum reflexum
compound	alternate	5	unfused	5	fleshy	inferior ovary	Aralia racemosa
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cycloloma atriplicifolium
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lotus corniculatus
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla litoralis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Calystegia pubescens
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Barbarea stricta
compound	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Oxalis florida
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia striata
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera glazioviana
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Arabis pycnocarpa
compound	alternate	4 or 5	unfused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium campestre
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum striatum
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula canadensis
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Torilis japonica
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea quamoclit
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Linum sulcatum
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Scandix pecten-veneris
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia eupatoria
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Trifolium medium
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	9	dry & doesn't split open	superior ovary	Rheum rhabarbarum
simple	opposite	4	unfused or fused	1	dry & splits open	superior ovary	Veronica scutellata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza hirta
compound	alternate	5	unfused or fused	7	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Senna hebecarpa
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Corydalis aurea
compound or simple	alternate or basal or opposite or none or whorled	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary & hypanthium or superior ovary or inferior ovary	Eichhornia crassipes
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum lychnitis
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Camelina microcarpa
simple	alternate	4 or 5	unfused or fused	4 or 5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta polygonorum
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Hibiscus trionum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Arabis procurrens
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis arvensis
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus flabellaris
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum odoratum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Amphicarpaea bracteata
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus abortivus
simple	alternate or opposite	5	unfused or fused	4	dry & splits open	superior ovary	Mazus pumilus
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula aparinoides
simple	alternate	5 or 6	unfused or fused	12 or 13	dry & splits open	superior ovary	Reseda lutea
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum fowleri
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cynoglossum virginianum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea lacunosa
simple	opposite	3	unfused or fused	3	dry & splits open	superior ovary	Elatine triandra
simple	alternate	2 or 3 or 4 or 5	unfused	5	dry & doesn't split open	superior ovary	Laportea canadensis
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria pinifolia
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Torilis leptophylla
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Angelica venenosa
compound or simple	alternate or opposite or whorled	4	unfused	6	dry & splits open	superior ovary	Cardamine maxima
compound	alternate	4 or 5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Potentilla canadensis
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza cuneata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Mertensia virginica
simple	alternate	5	unfused	0 or 5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Amaranthus spinosus
compound	alternate	4 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia striata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia grandiflora
simple	alternate	5	unfused	0 or 5	dry & splits open	superior ovary	Amaranthus dubius
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum sisymbriifolium
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Conium maculatum
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cuminum cyminum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Draba cana
?	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus aphaca
simple	alternate	4 or 5	unfused or fused	3 or 4 or 5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta cephalanthi
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa sessiliflora
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex crispus
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium dichotomum
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Digitalis lanata
simple	alternate or opposite	5 or 0	unfused or fused	5	dry & doesn't split open	superior ovary	Atriplex glabriuscula
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum venulosum
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Cymbalaria muralis
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Angelica lucida
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana tabacum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trigonella corniculata
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Kochia scoparia
simple	alternate	4	unfused	8	dry & doesn't split open	inferior ovary	Oenothera gaura
compound	alternate	5	unfused	13	fleshy	superior ovary & hypanthium	Rubus pubescens
simple	alternate	5 or 6	unfused or fused	13	dry & splits open	superior ovary	Reseda luteola
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Lepidium perfoliatum
simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Crocanthemum canadense
compound	alternate	4	unfused	4 or 6	dry & splits open	superior ovary	Cardamine flexuosa
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago praecox
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium perplexum
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera laciniata
