Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	?	compound	lobes||teeth and lobes||teeth	radially symmetrical	5||4||>=7||6	not fused	>=13	fleshy	5^11	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	?	?	no	?	no marks	no	1	1	0	above the point of petal  attachment	white	?	?||no	?	petals about same size as sepals	4^10	?	synoecious: all flowers have carpels and stamens	?	is different	no	2^4.5	3^5	no	not attached to petals	?	no	no	?	?	?	?	?	?	?	red||white	?	?	?	?	fleshy with the wall enclosing sections each  with two or more seeds (berry)	?	?	?	no	?	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	20^90	?	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	?	?	100^700	widest near the middle and tapering at both ends (elliptic)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	is narrow where it attaches to the stem	rounded teeth||lobes that radiate from the base like a hand	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	yes	at least one full leaf above the base	40^80	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^4.5	?	?	?	plain, without glands or branches, and not tangled	no	?	?	?	?	smooth, with no hairs or scales	?	>=25	?	no	?	?	6^50	0	?	abruptly	egg-shaped with the widest point above the middle (obovate)||spoon-shaped: narrow near the base, then suddenly widening to a rounded tip (spatulate)	sharply pointed (acute)||bluntly pointed (obtuse)	resemble petals in color and texture	?||green to brown||white	roughly circular, as wide as long	all about the same size	?	?	widest in the middle and tapering to each end (ellipsoid)	?	?	no	yes	?	green, with a leaf-like texture	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	?	upright or angled outwards	?	no	?	?	0	20^170	?	?	?	0	10	no	4^7	?	?	?	?	?	?	?	?	?	?	?	?	?	Actaea rubra	Actaea	Ranunculaceae	Ranunculales
terrestrial	blue to purple||pink to red||white	compound	lobes||teeth and lobes	bilaterally symmetrical	4	fused into a cup or tube	6	dry and splits open	10	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	2	no	?	no marks	no	2	1	1	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	?	?	?	4	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	2	no	attached at the bases of petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	smooth or without markings	no	no	no	clear and watery	clear	vine||herb	green	no	0	10^20	?	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	?	?	20^130	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	10^80	no	yes	at the basal margin	is narrow where it attaches to the stem	?	?	one	?	?	no	no	no	at least one full leaf above the base	50^400	from a leaf or leaflet	yes	?	?	two cycles	10^17	?	by two main valves, teeth or pores	?	no	?	?	?	?	?	?	3^7	?	?	?	?	?	?	0	urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim (urceolate)	?	widest below the middle and broadly tapering at both ends (ovate)	?	green or brown, and leaf-like in texture	?||green to brown||white	?	?	?	?	flat or strongly compressed||with parallel sides that do not taper, and flat across the top and bottom (cylindrical)	curve or droop downwards	2^3	?	?	5^10	?	yes	?	no	no	symmetrical	no||yes	?	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	?	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	?	?	?	no	no	no	?	?	no	?	firm or rigid	0	?	?	?	?	0	?	?	?	10^17	?	?	?	?	?	?	?	?	?	?	?	?	Adlumia fungosa	Adlumia	Papaveraceae	Ranunculales
terrestrial	white	compound	teeth	radially symmetrical||bilaterally symmetrical	5	not fused	5	dry but does not split open	3^4	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	both pollen- and seed-producing parts	two or more completely separate styles	?	no	?	no marks	no	2	1	2	below the point of petal attachment	white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	0	0	?	not attached to petals	?	no	no	at the tip of the style	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	3^4	?	?	no	?	flattened perpendicular to the commissure	2	?	?	?	no	no	clear and watery	clear	herb	green	no	0	25^80	2^2.5	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	rounded at the base	?	?	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	with spots, mottlers or stripes||uniform	?	no	yes	at the basal margin	clasps the stem or sheathes the stem	forward-pointing teeth	3^9	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	no	at least one full leaf above the base	40^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	tapers to a long, thin point (acuminate)	no	no	0	?	?	no	smooth, with no hairs or scales	?	?	points upwards||angled outwards	no	no	no hairs	?	12^25	platter-shaped, the corolla flattened, circular, with nearly horizontally spreading lobes (rotate)	gradually or does not narrow	egg-shaped with the widest point above the middle (obovate)	with a blunt or rounded apex and a notch at the center (retuse)	?	?	?	?	?	yes	egg-shaped (ovoid)	point upward or spread or curve outward	?	no	no	10^40	?	no	no	no	no	asymmetrical||symmetrical	no||yes	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	gradual	the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	?	no	?	?	no	no	no	upright or angled outwards	?	?	?	?	?	15^70	1.5	?	?	0	?	no	?	?	attached near its midpoint to the filament	60^120	?	?	?	0	?	?	?	?	?	?	Aegopodium podagraria	Aegopodium	Apiaceae	Apiales
terrestrial	white	compound	lobes||teeth and lobes	radially symmetrical||bilaterally symmetrical	5	not fused	5	dry but does not split open	3^4	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	?	two or more completely separate styles	?	no	?	?	no	2	1	2	below the point of petal attachment	white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	?	no	0	0	?	not attached to petals	?	no	no	?	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened parallel to the commissure||not flattened	2	?	?	yes	no	no	clear and watery	clear	herb	green	no	2^5	?	?	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	?	?	?	very narrow with more or less parallel sides (linear)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	any	one	?	?	no	?	?	at least one full leaf above the base	7^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	50^300	?	?	?	?||egg-shaped with the widest point above the middle (obovate)	with a blunt or rounded apex and a notch at the center (retuse)	?	?	?	?	?	?	egg-shaped (ovoid)	?	2	no	yes	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	20^50	?	?	?	0	?	?	?	?	?	?	Aethusa cynapium	Aethusa	Apiaceae	Apiales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	0.7^1	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	?	knob-like at the tip, and unbranched	?	yes	?	?	no	?	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	yes	clear and watery	clear	?	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	15^150	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia eupatoria	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	3^3.3	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	?	?	yes	?	no marks	no	2	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	petals longer than sepals	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	1^4	5	yes	attached at the bases of petals	?	no	no	?	?	?	perpendicular to the plane of the perianth (vertical)	circular	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	yes	clear and watery	clear	herb	green	no	0	40^120	2^2.4	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	?	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	hairs with glands at their tips||simple hairs with no glands	100^250	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	is narrow where it attaches to the stem	forward-pointing teeth	any	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	50^150	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^5	?	?	sharply pointed (acute)	have glands	?	?	?	?	?	smooth, with no hairs or scales	?	10^50	?	?	yes	some of the hairs have glands	3^120	0	?	?	rectangular but with rounded ends (oblong)	?	green or brown, and leaf-like in texture	green to brown	?	?	?	yes	spherical	curve or droop downwards	3^3.3	?	yes	20^50	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	standing up straight or curved in different directions	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	no	?	point mostly upwards to outwards	no	no	no	upright or angled outwards	?	?	?	?	2^2.5	200^400	?	yes	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia gryposepala	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	0.15^0.3	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	?	knob-like at the tip, and unbranched	?	yes	?	?	no	?	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	no	clear and watery	clear	?	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	<=70	egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	30^60	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia microcarpa	Agrimonia	Rosaceae	Rosales
wetlands	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	0.4^0.5	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	?	knob-like at the tip, and unbranched	?	yes	?	?	no	?	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	yes	clear and watery	clear	?	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	<=320	lance-shaped; widest below the middle and tapering at both ends (lanceolate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=120	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia parviflora	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	0.25^0.4	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	?	knob-like at the tip, and unbranched	?	yes	?	?	no	?	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	no	clear and watery	clear	?	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	<=130	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	>=5	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia pubescens	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	0.35^0.45	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	?	knob-like at the tip, and unbranched	?	yes	?	?	no	?	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	yes	clear and watery	clear	?	green	no	0	?	?	?	?	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)||rounded at the base	?	<=70	egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia rostellata	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	compound	teeth	radially symmetrical	5	not fused	10||11||12||>=13||5||6||7||8||9	dry but does not split open	?	no	solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	?	?	yes	?	no marks	no	2	2	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	petals longer than sepals	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals	?	no	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	?	?	?	0	?	?	?	no	yes	clear and watery	clear	herb	green	no	0	?	?	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	?	?	hairs with glands at their tips	?	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	is narrow where it attaches to the stem	forward-pointing teeth	7^11	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^5	?	?	?	have glands	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	hairs without glands	?	0	?	?	?	?	green or brown, and leaf-like in texture	green to brown	?	?	?	yes	?	?	?	?	yes	?	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	no	?	point mostly upwards to outwards	no	no	no	upright or angled outwards	?	?	?	?	4^5	?	?	yes	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Agrimonia striata	Agrimonia	Rosaceae	Rosales
terrestrial	yellow	simple	?	radially symmetrical	5	fused into a cup or tube	10	dry and splits open	?	no	solitary||not fused	no	no	no	0	?	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	?	?	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	?	?	no	?	?	?	?	?	?	?	?	?	?	?	1	one ovary splits along one side to release the seeds (follicle)	?	?	?	?	?	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	?	0	?	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	35^80	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	15^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	?	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Aizopsis aizoon	Aizopsis	Crassulaceae	Saxifragales
