Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
compound	blue to purple or white	alternate	lobes	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum tuberosum
simple	blue to purple or white or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or white or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Symphytum officinale
simple	pink to red	alternate or opposite	entire	radially symmetrical	6	fused	12	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lythrum junceum
compound	blue to purple or yellow	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & splits open	no bulbils	blue to purple or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Vicia grandiflora
simple	white	alternate	lobes or teeth	radially symmetrical	5	unfused or fused	13	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Argemone albiflora
compound or simple	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cardamine longii
simple	orange or yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	13	dry & splits open	no bulbils	orange or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Glaucium flavum
simple	green to brown or yellow	alternate	lobes or entire	bilaterally symmetrical	2	fused	4	dry & splits open	no bulbils	green to brown or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic or parasitic on other plants	no spines or with spines	Castilleja coccinea
simple	blue to purple or green to brown or white	alternate	entire	bilaterally symmetrical	2	fused	4	dry & splits open	no bulbils	blue to purple or green to brown or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic or parasitic on other plants	no spines or with spines	Castilleja septentrionalis
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera pilosella
simple	orange or pink to red or yellow	alternate	teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	orange or pink to red or yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera glazioviana
simple	yellow	alternate	lobes or teeth	radially symmetrical	5	fused	3	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	vine	not parasitic	no spines or with spines	Cucurbita pepo
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Boechera stricta
simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary or inferior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aizopsis kamtschatica
simple	pink to red or yellow	alternate	teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	pink to red or yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Camissonia campestris
compound or simple	blue to purple or pink to red or yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	blue to purple or pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Geum rivale
simple	green to brown	alternate	entire	radially symmetrical	4	unfused	4	dry & splits open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ludwigia polycarpa
simple	blue to purple or pink to red or white	alternate	entire	radially symmetrical	5	fused	5 or 6 or 7 or 8	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria nepalensis
simple	pink to red or white	basal	entire	radially symmetrical	4 or 5 or 6 or 7	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera intermedia
simple	green to brown	alternate	teeth or entire	radially symmetrical	5 or 6	fused	0 or 4 or 5 or 6	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Emex spinosa
compound or simple	white	alternate	lobes or teeth	radially symmetrical	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Geum laciniatum
simple	pink to red or white	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Phacelia brachyloba
simple	blue to purple or pink to red or white	alternate	teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Chamerion angustifolium
compound	yellow	alternate	lobes or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Taenidia integerrima
simple	?	alternate	entire	radially symmetrical	4 or 5	fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium bonus-henricus
simple	blue to purple or pink to red or white	alternate	entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lobularia maritima
simple	blue to purple or white	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Solanum carolinense
simple	?	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium leptophyllum
simple	yellow	alternate	teeth or entire	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus flammula
simple	pink to red or white	alternate	entire	radially symmetrical	5	unfused	8	dry & doesn't split open	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum articulatum
simple	white	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	not fringed	raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Alliaria petiolata
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Agrimonia eupatoria
simple	white	alternate	teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Datura inoxia
simple	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Echium creticum
compound	white	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Conium maculatum
simple	?	alternate	entire	radially symmetrical or bilaterally symmetrical	5	unfused	0 or 5	dry & splits open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus dubius
simple	green to brown or white	opposite	entire	radially symmetrical	2 or 3	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Elatine americana
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Agrimonia striata
compound	yellow	alternate	lobes	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Descurainia sophia
simple	yellow	alternate	teeth	radially symmetrical	4	unfused or fused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera parviflora
compound	blue to purple or pink to red or white	alternate or opposite or whorled	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Hylodesmum nudiflorum
compound	white	alternate	teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ligusticum scoticum
simple	blue to purple	alternate or opposite or whorled	teeth	bilaterally symmetrical	5	fused	1	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Veronica longifolia
simple	orange or pink to red	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	orange or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ipomoea coccinea
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago praecox
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	vine	not parasitic	no spines or with spines	Amphicarpaea bracteata
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	4	fused	6 or 7 or 8	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria arifolia
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Vicia sepium
simple	white	alternate	teeth	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum villosum
simple	blue to purple or white	alternate or opposite	teeth	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Mazus pumilus
simple	white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Draba cana
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera fruticosa
compound	pink to red	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium dalmaticum
simple	white	alternate	lobes or teeth	radially symmetrical	5	unfused or fused	13	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Napaea dioica
simple	white or yellow	alternate	teeth	bilaterally symmetrical	3 or 5	unfused or fused	5	dry & splits open	no bulbils	white or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Impatiens pallida
simple	blue to purple	alternate	teeth or entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Heliotropium indicum
compound	yellow	alternate	entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Anethum graveolens
simple	yellow	alternate	teeth	radially symmetrical	5	unfused or fused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub	not parasitic	no spines or with spines	Malvastrum coromandelianum
simple	?	alternate	entire	radially symmetrical	3	unfused	0 or 3	dry & splits open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus blitum
simple	blue to purple or white	alternate	teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Campanula carpatica
compound	?	alternate	entire	radially symmetrical	5	unfused	13	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nigella sativa
simple	pink to red or white	alternate	teeth	bilaterally symmetrical	4	unfused	8	dry & doesn't split open	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Oenothera gaura
compound	blue to purple or pink to red or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Securigera varia
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium canadense
simple	?	alternate	entire	radially symmetrical or bilaterally symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus macrocarpus
compound	green to brown or white or yellow	alternate	lobes	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	green to brown or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Apium graveolens
simple	blue to purple or white	alternate	lobes	radially symmetrical	5	unfused or fused	13	dry & doesn't split open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Malva parviflora
simple	green to brown or pink to red or white	alternate or opposite	entire	radially symmetrical	5	unfused	5	dry & splits open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Corrigiola litoralis
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	subshrub	not parasitic	no spines or with spines	Lespedeza cyrtobotrya
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Brassica nigra
simple	white	alternate	entire	radially symmetrical	4 or 5	fused	4 or 5	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta indecora
compound	white	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Filipendula vulgaris
simple	white	alternate	teeth or entire	radially symmetrical	5	fused	8 or 10	fleshy	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub	not parasitic	no spines or with spines	Gaultheria procumbens
compound	yellow	alternate	entire	bilaterally symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	1	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	insectivorous	no spines or with spines	Utricularia gibba
simple	?	alternate	teeth or entire	radially symmetrical	4 or 5	fused	4 or 5	dry & doesn't split open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Dysphania ambrosioides
simple	orange or yellow	alternate or whorled	entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	orange or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria vulgaris
simple	?	alternate	entire	radially symmetrical	5	unfused or fused	8 or 9 or 10 or 11 or 12	dry & splits open	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Croton texensis
simple	green to brown or pink to red or white or yellow	alternate	entire	radially symmetrical	5	fused	3 or 4 or 5 or 6 or 7 or 8	dry & doesn't split open	no bulbils	green to brown or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum ramosissimum
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Erysimum hieraciifolium
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Bunias orientalis
simple	blue to purple or pink to red or white	alternate	teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Campanula divaricata
simple	pink to red or white	opposite	entire	radially symmetrical	3	unfused or fused	3	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Elatine triandra
compound	yellow	alternate	entire	bilaterally symmetrical	4 or 5	fused	1	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	insectivorous	no spines or with spines	Utricularia striata
simple	yellow	alternate	entire	radially symmetrical	5	unfused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linum sulcatum
simple	pink to red	alternate	entire	radially symmetrical	5	fused	5 or 6 or 7 or 8	dry & doesn't split open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria orientalis
simple	other or pink to red or white	basal	teeth	radially symmetrical or bilaterally symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	other or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Pyrola americana
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus recurvatus
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria sagittata
simple	blue to purple	alternate	lobes or teeth	bilaterally symmetrical	5	unfused	13	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aconitum uncinatum
simple	yellow	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	subshrub	not parasitic	no spines or with spines	Ulex europaeus
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cardamine douglassii
compound	yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Thermopsis villosa
simple	blue to purple or pink to red	alternate or opposite or whorled	teeth or entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria maroccana
simple	?	alternate	entire	radially symmetrical	3	unfused	0 or 3	dry & splits open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus albus
simple	green to brown or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nicotiana rustica
compound or simple	?	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	?	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Rorippa sessiliflora
simple	?	alternate	teeth or entire	radially symmetrical	5 or 0	fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Atriplex subspicata
